Scenario,Distance (km),Overall Result,Plot File Name,1s Min Criterion,1s Max Criterion,1s GMPE Median,1s Sim Median,1s Sim Std Dev,1s Result,1.1s Min Criterion,1.1s Max Criterion,1.1s GMPE Median,1.1s Sim Median,1.1s Sim Std Dev,1.1s Result,1.2s Min Criterion,1.2s Max Criterion,1.2s GMPE Median,1.2s Sim Median,1.2s Sim Std Dev,1.2s Result,1.3s Min Criterion,1.3s Max Criterion,1.3s GMPE Median,1.3s Sim Median,1.3s Sim Std Dev,1.3s Result,1.5s Min Criterion,1.5s Max Criterion,1.5s GMPE Median,1.5s Sim Median,1.5s Sim Std Dev,1.5s Result,1.7s Min Criterion,1.7s Max Criterion,1.7s GMPE Median,1.7s Sim Median,1.7s Sim Std Dev,1.7s Result,2s Min Criterion,2s Max Criterion,2s GMPE Median,2s Sim Median,2s Sim Std Dev,2s Result,2.2s Min Criterion,2.2s Max Criterion,2.2s GMPE Median,2.2s Sim Median,2.2s Sim Std Dev,2.2s Result,2.4s Min Criterion,2.4s Max Criterion,2.4s GMPE Median,2.4s Sim Median,2.4s Sim Std Dev,2.4s Result,2.6s Min Criterion,2.6s Max Criterion,2.6s GMPE Median,2.6s Sim Median,2.6s Sim Std Dev,2.6s Result,2.8s Min Criterion,2.8s Max Criterion,2.8s GMPE Median,2.8s Sim Median,2.8s Sim Std Dev,2.8s Result,3s Min Criterion,3s Max Criterion,3s GMPE Median,3s Sim Median,3s Sim Std Dev,3s Result
"M6.6, Vertical Strike-Slip with Surface Rupture",20.0,FAIL,m6p6_vert_ss_surface_20km.png,0.08132775,0.16927306,0.11733115,0.22287,0.49279916,FAIL,0.072330415,0.15054628,0.10435073,0.1805,0.51111656,FAIL,0.064988516,0.13526508,0.09375861,0.159575,0.5538148,FAIL,0.058894563,0.12258132,0.0849669,0.13871,0.5704788,FAIL,0.049388528,0.10279575,0.071252584,0.116485,0.5338259,FAIL,0.0420322,0.08774199,0.060639646,0.093749,0.54923177,FAIL,0.034090474,0.071435764,0.04918216,0.0757915,0.620919,FAIL,0.030241305,0.063314416,0.04362898,0.0699575,0.665422,FAIL,0.027108068,0.056709155,0.039108675,0.0648935,0.6705553,FAIL,0.024513254,0.05124317,0.03536515,0.057048,0.6284272,FAIL,0.022332808,0.046653308,0.032219432,0.0486195,0.6045591,FAIL,0.020477558,0.04275056,0.02954287,0.041727,0.5942175,PASS
"M6.6, Vertical Strike-Slip with Surface Rupture",50.0,FAIL,m6p6_vert_ss_surface_50km.png,0.032854773,0.068382904,0.047399417,0.0733215,0.5405727,FAIL,0.029370215,0.06113025,0.042372264,0.066208,0.54767764,FAIL,0.026512789,0.055182893,0.03824987,0.05996,0.56491405,FAIL,0.02413036,0.05022418,0.03481275,0.051399,0.56955385,FAIL,0.02039189,0.04244305,0.029419279,0.0482175,0.59374744,FAIL,0.017372187,0.03615793,0.025062768,0.0390885,0.61075395,FAIL,0.014108406,0.0293648,0.02035413,0.029196,0.60882324,PASS,0.012503285,0.026023949,0.018038427,0.0251035,0.6399371,PASS,0.011197924,0.02330701,0.016155189,0.0238955,0.70858777,FAIL,0.0101178,0.021058874,0.014596899,0.0220845,0.74644744,FAIL,0.009210873,0.019171227,0.013288482,0.0199545,0.6949132,FAIL,0.008439771,0.017566279,0.012176016,0.017594,0.65832806,FAIL
"M6.6, Reverse, Dip=45, Ztor=3",20.0,PASS,m6p6_reverse_20km.png,0.08643574,0.17990467,0.12470041,0.16255,0.36484015,PASS,0.07668708,0.15961412,0.11063607,0.13893,0.35279363,PASS,0.06875057,0.1430953,0.0991861,0.12216494,0.38819632,PASS,0.06217707,0.12941343,0.08970255,0.107054986,0.418458,PASS,0.05195168,0.10813061,0.07495043,0.08107349,0.4506026,PASS,0.04397393,0.09152598,0.06344097,0.06338998,0.5029555,PASS,0.035414528,0.073710695,0.051092364,0.0519415,0.4471856,PASS,0.031206142,0.064951494,0.04502095,0.0430855,0.4359241,PASS,0.027802417,0.05786709,0.04011041,0.036661487,0.44924828,PASS,0.025000121,0.052034475,0.03606755,0.031000992,0.45043126,PASS,0.02265806,0.047159784,0.03268867,0.0264975,0.45834562,PASS,0.020675305,0.04303294,0.029828161,0.023925498,0.44149166,PASS
"M6.6, Reverse, Dip=45, Ztor=3",50.0,PASS,m6p6_reverse_50km.png,0.034799557,0.07243072,0.05020515,0.056878474,0.42433053,PASS,0.031033332,0.06459181,0.044771634,0.049316,0.40371755,PASS,0.027952103,0.058178637,0.04032636,0.044779994,0.41374704,PASS,0.025388539,0.05284292,0.03662792,0.03986148,0.4218413,PASS,0.021377109,0.044493653,0.03084065,0.030500997,0.47306716,PASS,0.018115597,0.03770524,0.02613528,0.02532349,0.46319732,PASS,0.014611619,0.03041217,0.02108011,0.02082999,0.4524237,PASS,0.012865493,0.02677784,0.018560983,0.017370498,0.45590323,PASS,0.011454264,0.023840548,0.01652501,0.016067497,0.46315745,PASS,0.01029317,0.021423884,0.014849905,0.014876499,0.485456,PASS,0.009323366,0.019405365,0.013450774,0.0131355,0.474554,PASS,0.008502814,0.017697494,0.012266967,0.012190999,0.4803952,PASS
"M7.2, Vertical Strike-Slip with Surface Rupture",20.0,FAIL,m7p2_vert_ss_surface_20km.png,0.11546564,0.2403266,0.1665817,0.5312,0.3827663,FAIL,0.10411828,0.21670856,0.15021093,0.47054,0.38782004,FAIL,0.09473555,0.19717963,0.13667451,0.409895,0.3887446,FAIL,0.08685278,0.18077268,0.12530208,0.35494,0.3925165,FAIL,0.07435859,0.15476766,0.10727677,0.26334,0.38187462,FAIL,0.064523585,0.1342974,0.09308786,0.21515,0.3694231,FAIL,0.053668216,0.111703366,0.07742687,0.173255,0.42228207,FAIL,0.04870588,0.10137491,0.07026773,0.156365,0.45765668,FAIL,0.04457737,0.09278195,0.06431155,0.134165,0.46731722,FAIL,0.041089255,0.0855219,0.059279267,0.11981,0.47055432,FAIL,0.03810358,0.079307616,0.054971848,0.106995,0.4674439,FAIL,0.03551932,0.07392882,0.05124355,0.095239,0.46705025,FAIL
"M7.2, Vertical Strike-Slip with Surface Rupture",50.0,FAIL,m7p2_vert_ss_surface_50km.png,0.051396213,0.10697448,0.07414906,0.12527,0.52096653,FAIL,0.046557087,0.09690248,0.067167684,0.110075,0.51378375,FAIL,0.04253827,0.088537835,0.06136975,0.099927,0.5153991,FAIL,0.039148383,0.081482224,0.056479175,0.089889,0.5179601,FAIL,0.03374697,0.070239894,0.048686586,0.072388,0.52500606,FAIL,0.029319892,0.06102551,0.04229966,0.062549,0.5138712,FAIL,0.024426568,0.050840702,0.035240088,0.0489835,0.51874626,PASS,0.022132142,0.04606515,0.03192993,0.041511,0.5366359,PASS,0.020226207,0.042098198,0.029180247,0.037065998,0.56251824,PASS,0.018618198,0.03875134,0.026860382,0.03428,0.59116143,PASS,0.017243616,0.03589033,0.02487728,0.0318015,0.59465,PASS,0.01605529,0.033416983,0.023162888,0.029245999,0.59423673,PASS
"M7.2, Reverse, Dip=45",20.0,FAIL,m7p2_reverse_20km.png,0.1196756,0.24908908,0.17265539,0.33201498,0.33466735,FAIL,0.107721046,0.22420724,0.15540862,0.2774099,0.30992624,FAIL,0.09785322,0.20366865,0.14117235,0.25226,0.33567017,FAIL,0.089575954,0.1864406,0.12923078,0.224715,0.3459671,FAIL,0.07648369,0.15919077,0.110342644,0.18627,0.38545704,FAIL,0.0660897,0.13755704,0.09534728,0.15514,0.41783378,FAIL,0.05467214,0.113792896,0.07887523,0.11747492,0.3916396,FAIL,0.049400464,0.10282059,0.0712698,0.09766046,0.3549626,PASS,0.045032926,0.09373014,0.06496878,0.087473996,0.3715047,PASS,0.041356996,0.086079165,0.05966553,0.079714455,0.3934617,PASS,0.038221676,0.07955341,0.055142224,0.07045411,0.40799475,PASS,0.035516795,0.07392355,0.051239904,0.061213,0.4055665,PASS
"M7.2, Reverse, Dip=45",50.0,PASS,m7p2_reverse_50km.png,0.05314737,0.11061929,0.07667545,0.10647994,0.3105449,PASS,0.04806426,0.10003946,0.06934207,0.09322294,0.3066292,PASS,0.04384946,0.09126691,0.0632614,0.08545544,0.30223063,PASS,0.040299386,0.08387789,0.058139723,0.0788495,0.31471878,PASS,0.034653496,0.07212671,0.049994428,0.06629099,0.35992008,PASS,0.02998995,0.062420152,0.043266352,0.056194484,0.36055014,PASS,0.024858216,0.05173912,0.035862826,0.046692,0.37029508,PASS,0.022430955,0.046687093,0.032361027,0.04120943,0.36540243,PASS,0.020422593,0.04250695,0.029463574,0.0362335,0.35817787,PASS,0.018734263,0.038992915,0.027027829,0.034001492,0.383128,PASS,0.017295808,0.03599896,0.024952576,0.0304135,0.36810973,PASS,0.016056092,0.03341865,0.023164045,0.0277845,0.3503216,PASS
"M7.6, Vertical Strike-Slip with Surface Rupture",20.0,FAIL,m7p6_vert_ss_surface_20km.png,0.14103879,0.29355377,0.20347597,0.63217,0.29435578,FAIL,0.1269269,0.26668823,0.18485418,0.55993,0.30870238,FAIL,0.11528035,0.24431463,0.16934599,0.49839,0.3114894,FAIL,0.10551265,0.22539426,0.1562314,0.41214,0.30792707,FAIL,0.09006624,0.19514519,0.13526434,0.294565,0.33014676,FAIL,0.07956984,0.17116481,0.118642405,0.24075,0.30729663,FAIL,0.067744486,0.14436968,0.10006943,0.186955,0.36587387,FAIL,0.06258931,0.13264537,0.09194276,0.15783,0.42690682,FAIL,0.058226317,0.1227753,0.08510135,0.125955,0.4662207,FAIL,0.054481838,0.11434559,0.07925832,0.10772,0.49851352,PASS,0.051230025,0.10705779,0.07420681,0.094898,0.5036477,PASS,0.04837736,0.10069114,0.069793776,0.0835545,0.5070792,PASS
"M7.6, Vertical Strike-Slip with Surface Rupture",50.0,FAIL,m7p6_vert_ss_surface_50km.png,0.06490413,0.1418643,0.0968586,0.254605,0.33985808,FAIL,0.05891933,0.12928168,0.0883417,0.22219,0.34244335,FAIL,0.05393883,0.118771695,0.08122202,0.19986,0.35239413,FAIL,0.04972985,0.10985963,0.07518036,0.17888,0.3519042,FAIL,0.043006644,0.09556009,0.06547702,0.136385,0.36995417,FAIL,0.038227558,0.083469704,0.057480734,0.1064,0.37530428,FAIL,0.03280566,0.07002411,0.048537012,0.081310496,0.41847277,FAIL,0.030246783,0.06418065,0.04448664,0.070698984,0.45322874,FAIL,0.028085398,0.05927284,0.0410848,0.0633535,0.47751504,FAIL,0.026233772,0.055090193,0.03818561,0.05931845,0.5032328,FAIL,0.024628447,0.051481273,0.0356841,0.051983997,0.5054886,FAIL,0.023222351,0.048334282,0.033502772,0.046515,0.51406825,PASS
"M7.6, Reverse, Dip=45",20.0,FAIL,m7p6_reverse_20km.png,0.14721143,0.3064013,0.21238121,0.5954449,0.33774024,FAIL,0.13239367,0.27779984,0.19255619,0.5196549,0.3463168,FAIL,0.120172374,0.2540265,0.17607777,0.47524494,0.34167993,FAIL,0.10992864,0.23395793,0.16216728,0.43290955,0.32407615,FAIL,0.09374191,0.2019479,0.13997962,0.35354,0.33081293,FAIL,0.08209964,0.17634274,0.122231476,0.29560962,0.35007173,FAIL,0.069113016,0.14787753,0.10250089,0.215655,0.3518897,FAIL,0.063559495,0.13511501,0.093654595,0.188675,0.35281724,FAIL,0.058880117,0.124428,0.086246915,0.17493,0.35636055,FAIL,0.05488034,0.115344964,0.07995104,0.16348492,0.37318417,FAIL,0.051419772,0.107527606,0.07453246,0.142245,0.38138822,FAIL,0.048394494,0.1007268,0.0698185,0.120094955,0.40196553,FAIL
"M7.6, Reverse, Dip=45",50.0,FAIL,m7p6_reverse_50km.png,0.06891758,0.14544341,0.10081369,0.17834,0.32960364,FAIL,0.062269263,0.13241795,0.091785125,0.15488,0.3593621,FAIL,0.05676145,0.12154793,0.08425061,0.13846976,0.36321113,FAIL,0.052126005,0.11233823,0.07786693,0.12884,0.38359362,FAIL,0.04476178,0.0975773,0.06763543,0.10552995,0.39194503,FAIL,0.039442945,0.0853188,0.059138484,0.092881404,0.41479868,FAIL,0.033468377,0.07167033,0.049678087,0.0810295,0.4638744,FAIL,0.030722326,0.06535133,0.045298092,0.0716145,0.4809667,FAIL,0.028412592,0.06007029,0.04163755,0.06728549,0.4799373,FAIL,0.026441501,0.055589896,0.03853198,0.05913497,0.48509002,FAIL,0.024738679,0.05174019,0.035863563,0.0516455,0.48041072,PASS,0.023252107,0.048396215,0.0335457,0.045629,0.48604837,PASS
